id,cond,llm,n_annot,consistency,coherence,originality,surprisingness,enjoyment,quality,coherence_comp,creativity_comp,attract_comp,overall,n_words,n_sentences,mean_word_length,mean_sentence_length,ttr,hapax_ratio,comma_density,flesch_approx,adjacent_sentence_similarity,semantic_distinctiveness,s_novelty,s_transience,s_resonance,ntr_unit,n_units_total,n_units_used
conv_c4baf00847bb42a8ab80a1cb377e91b2,LLM-LLM,2,0,,,,,,,,,,,582.0,26.0,4.697594501718213,22.384615384615383,0.5326460481099656,0.3831615120274914,80.75601374570448,57.069254559873144,0.0695061778259509,0.6155498475093408,-2.8840392017364502,-0.6107785892486572,-2.273260612487793,sentence,27,25
conv_c5addb32570d400db0feca8365ceaa9a,LLM-LLM,2,0,,,,,,,,,,,488.0,22.0,4.840163934426229,22.181818181818183,0.5881147540983607,0.4672131147540984,77.8688524590164,56.03356929955291,0.057434317633086,0.6055118301023128,-4.142865805625916,-1.7158411073684692,-2.4270246982574464,sentence,27,25
conv_c7841512d38b483c928344d48d5caa78,LLM-LLM,2,0,,,,,,,,,,,597.0,5.0,4.773869346733668,119.4,0.5025125628140703,0.4003350083752093,97.15242881072028,-42.885648241206,0.2776359982572034,0.5523522851356615,-1.1031512816747029,-0.281194011370341,-0.8219572703043619,sentence,5,3
conv_c844530b86a74806aff04a1d35ed710d,LLM-LLM,2,0,,,,,,,,,,,572.0,31.0,4.68006993006993,18.451612903225808,0.4947552447552447,0.3986013986013986,89.16083916083917,61.35451500112792,0.0834368651249938,0.5076883666686338,-3.1184797430860587,-0.7351049657525688,-2.38337477733349,sentence,31,29
conv_c9917f1e13cb425b8d6617310f2e909f,LLM-LLM,2,0,,,,,,,,,,,584.0,29.0,4.440068493150685,20.13793103448276,0.4965753424657534,0.3955479452054795,70.2054794520548,63.69602739726028,0.0682540968601652,0.4730867353966766,-2.6642018365859985,-0.4934492707252502,-2.1707525658607483,sentence,27,25
conv_ca1d11bdb5804bf5b68a18283defc1fe,LLM-LLM,2,0,,,,,,,,,,,581.0,32.0,4.581755593803787,18.15625,0.5094664371772806,0.3769363166953528,91.22203098106712,66.67559729991395,0.0612152062780782,0.4735277635504651,-3.2629824616014957,-0.4312588013708591,-2.8317236602306366,sentence,34,32
conv_d09d179bdcf2422c934df6fd0fc84a1d,LLM-LLM,2,0,,,,,,,,,,,601.0,4.0,4.545757071547421,150.25,0.4625623960066555,0.3311148086522462,119.80033277870216,-67.9938747920133,0.3291708992938185,0.4537924697005859,-1.577301859855652,-0.2682150602340698,-1.309086799621582,sentence,4,2
conv_d1c22bb3a30c49288b4bb253d68f713c,LLM-LLM,2,0,,,,,,,,,,,556.0,30.0,4.591726618705036,18.533333333333335,0.5359712230215827,0.4136690647482014,79.13669064748201,64.31899040767388,0.0619504169206729,0.6015962251985814,-3.416619896888733,-0.8198912302652995,-2.5967286666234335,sentence,32,30
conv_d6905a1ca5714753a29b07b1344d1eb0,LLM-LLM,2,0,,,,,,,,,,,588.0,34.0,4.569727891156463,17.294117647058822,0.5340136054421769,0.4098639455782313,93.5374149659864,66.69779711884755,0.0493239888382259,0.5719469119408453,-3.273539371562727,-0.6242295052065994,-2.649309866356127,sentence,35,33
conv_dc08ca44d82747d0bbf35d05a5cb1d68,LLM-LLM,2,0,,,,,,,,,,,586.0,34.0,4.515358361774744,17.235294117647058,0.5204778156996587,0.409556313993174,88.73720136518772,63.596125276048994,0.06757862324192,0.5095953142142409,-3.3503985820394573,-1.1045860142418833,-2.245812567797574,sentence,35,33
conv_de8aad34908944eea2d9c5f8be5201dd,LLM-LLM,2,0,,,,,,,,,,,532.0,34.0,4.838345864661654,15.647058823529411,0.575187969924812,0.43796992481203,86.46616541353383,62.94007739938084,0.0395650910101852,0.625667897786289,-4.074600243940949,-1.0688709523528814,-3.005729291588068,sentence,34,32
