story_id,lag,mean_sim,n_pairs
P1SZ3AZnoi1oqt5EbYh5,18,0.5702614337205887,30
P1SZ3AZnoi1oqt5EbYh5,19,0.5430604476353218,29
P1SZ3AZnoi1oqt5EbYh5,20,0.5481065937450954,28
P1SZ3AZnoi1oqt5EbYh5,21,0.524418686275129,27
P1SZ3AZnoi1oqt5EbYh5,22,0.5436814427375793,26
P1SZ3AZnoi1oqt5EbYh5,23,0.5264587330818177,25
P1SZ3AZnoi1oqt5EbYh5,24,0.5319271050393581,24
Pzb5I6nhg196AWLpukmz,1,0.6006276687470878,41
Pzb5I6nhg196AWLpukmz,2,0.6024364620447159,40
Pzb5I6nhg196AWLpukmz,3,0.6012955774099399,39
Pzb5I6nhg196AWLpukmz,4,0.6080105712539271,38
Pzb5I6nhg196AWLpukmz,5,0.5856790735914901,37
Pzb5I6nhg196AWLpukmz,6,0.5848034222920736,36
Pzb5I6nhg196AWLpukmz,7,0.575849745954786,35
Pzb5I6nhg196AWLpukmz,8,0.6002487417529611,34
Pzb5I6nhg196AWLpukmz,9,0.5760386116576918,33
Pzb5I6nhg196AWLpukmz,10,0.5775607544928789,32
Pzb5I6nhg196AWLpukmz,11,0.5842387618557099,31
Pzb5I6nhg196AWLpukmz,12,0.5729874551296235,30
Pzb5I6nhg196AWLpukmz,13,0.5750648975372314,29
Pzb5I6nhg196AWLpukmz,14,0.5853547336799758,28
Pzb5I6nhg196AWLpukmz,15,0.5848581548090335,27
Pzb5I6nhg196AWLpukmz,16,0.5661510286422876,26
Pzb5I6nhg196AWLpukmz,17,0.5861807191371917,25
Pzb5I6nhg196AWLpukmz,18,0.5797652999560038,24
Pzb5I6nhg196AWLpukmz,19,0.5930244624614716,23
Pzb5I6nhg196AWLpukmz,20,0.5843156996098432,22
Pzb5I6nhg196AWLpukmz,21,0.5679828042075747,21
RGwAQvKrGEfTj8ym6lju,1,0.6657362157298673,31
RGwAQvKrGEfTj8ym6lju,2,0.6110094885031382,30
RGwAQvKrGEfTj8ym6lju,3,0.6010384970697863,29
RGwAQvKrGEfTj8ym6lju,4,0.6046167016029358,28
RGwAQvKrGEfTj8ym6lju,5,0.605127195517222,27
RGwAQvKrGEfTj8ym6lju,6,0.6059531844579257,26
RGwAQvKrGEfTj8ym6lju,7,0.6001137089729309,25
RGwAQvKrGEfTj8ym6lju,8,0.6002955821653208,24
RGwAQvKrGEfTj8ym6lju,9,0.5964841998141744,23
RGwAQvKrGEfTj8ym6lju,10,0.5998698987744071,22
RGwAQvKrGEfTj8ym6lju,11,0.6026307230903989,21
RGwAQvKrGEfTj8ym6lju,12,0.6072025269269943,20
RGwAQvKrGEfTj8ym6lju,13,0.610265778867822,19
RGwAQvKrGEfTj8ym6lju,14,0.6029109987947676,18
RGwAQvKrGEfTj8ym6lju,15,0.6017182504429537,17
RGwAQvKrGEfTj8ym6lju,16,0.6028587147593498,16
Tf1TksJV6vLRqvWrSi52,1,0.6521728011694822,22
Tf1TksJV6vLRqvWrSi52,2,0.6265079024292174,21
Tf1TksJV6vLRqvWrSi52,3,0.6356378331780433,20
Tf1TksJV6vLRqvWrSi52,4,0.6298614897226033,19
Tf1TksJV6vLRqvWrSi52,5,0.6230468170510398,18
Tf1TksJV6vLRqvWrSi52,6,0.6131720420192269,17
Tf1TksJV6vLRqvWrSi52,7,0.5967035889625549,16
Tf1TksJV6vLRqvWrSi52,8,0.5902843733628591,15
Tf1TksJV6vLRqvWrSi52,9,0.6009767055511475,14
Tf1TksJV6vLRqvWrSi52,10,0.56651172041893,13
Tf1TksJV6vLRqvWrSi52,11,0.5873182093103727,12
ULRAMZF7ra0i53A9w3Gv,1,0.6560278125107288,32
ULRAMZF7ra0i53A9w3Gv,2,0.6533072667737161,31
ULRAMZF7ra0i53A9w3Gv,3,0.6363723427057266,30
ULRAMZF7ra0i53A9w3Gv,4,0.6283122403868313,29
ULRAMZF7ra0i53A9w3Gv,5,0.6287476122379303,28
ULRAMZF7ra0i53A9w3Gv,6,0.5907271824501179,27
ULRAMZF7ra0i53A9w3Gv,7,0.6181030594385587,26
ULRAMZF7ra0i53A9w3Gv,8,0.607822654247284,25
ULRAMZF7ra0i53A9w3Gv,9,0.6075705687204996,24
ULRAMZF7ra0i53A9w3Gv,10,0.6170811704967333,23
ULRAMZF7ra0i53A9w3Gv,11,0.6285871429876848,22
ULRAMZF7ra0i53A9w3Gv,12,0.6456795448348636,21
ULRAMZF7ra0i53A9w3Gv,13,0.6118254035711288,20
ULRAMZF7ra0i53A9w3Gv,14,0.6207805072006426,19
ULRAMZF7ra0i53A9w3Gv,15,0.6323885056707594,18
ULRAMZF7ra0i53A9w3Gv,16,0.620820354012882,17
WXfjYvL0j5iHL8rllFn1,1,0.6266752824187278,40
WXfjYvL0j5iHL8rllFn1,2,0.6338061904295896,39
WXfjYvL0j5iHL8rllFn1,3,0.6416161452469072,38
WXfjYvL0j5iHL8rllFn1,4,0.6296246228991328,37
WXfjYvL0j5iHL8rllFn1,5,0.6155168852872319,36
WXfjYvL0j5iHL8rllFn1,6,0.597825174672263,35
WXfjYvL0j5iHL8rllFn1,7,0.6116550687481376,34
WXfjYvL0j5iHL8rllFn1,8,0.6041111449400584,33
WXfjYvL0j5iHL8rllFn1,9,0.6254188111051917,32
WXfjYvL0j5iHL8rllFn1,10,0.6223147473027629,31
WXfjYvL0j5iHL8rllFn1,11,0.6211137384176254,30
WXfjYvL0j5iHL8rllFn1,12,0.6216607885114078,29
WXfjYvL0j5iHL8rllFn1,13,0.6240327645625386,28
WXfjYvL0j5iHL8rllFn1,14,0.6185502531351866,27
WXfjYvL0j5iHL8rllFn1,15,0.6053322977744616,26
WXfjYvL0j5iHL8rllFn1,16,0.5915732097625732,25
WXfjYvL0j5iHL8rllFn1,17,0.6062931964794794,24
WXfjYvL0j5iHL8rllFn1,18,0.6113519422386003,23
WXfjYvL0j5iHL8rllFn1,19,0.5755272196097807,22
WXfjYvL0j5iHL8rllFn1,20,0.609857432899021,21
WYnhagFwtR0bJ9vucGsm,1,0.6828198358416557,24
WYnhagFwtR0bJ9vucGsm,2,0.6755017845526986,23
WYnhagFwtR0bJ9vucGsm,3,0.6627755219286139,22
WYnhagFwtR0bJ9vucGsm,4,0.6681286834535145,21
WYnhagFwtR0bJ9vucGsm,5,0.6782743245363235,20
WYnhagFwtR0bJ9vucGsm,6,0.6719414842756171,19
