story_id,conversation_id,cond,n_annotators,mean_coherence_element_consistency,mean_coherence_logical_progression,mean_creativity_originality,mean_creativity_surprisingness,mean_likeability_enjoyability,mean_likeability_quality,mean_lead_time,overall_coherence,overall_creativity,overall_likeability,ann1_annotator,ann1_coherence_element_consistency,ann1_coherence_logical_progression,ann1_creativity_originality,ann1_creativity_surprisingness,ann1_likeability_enjoyability,ann1_likeability_quality,ann1_lead_time,ann1_comments,ann2_annotator,ann2_coherence_element_consistency,ann2_coherence_logical_progression,ann2_creativity_originality,ann2_creativity_surprisingness,ann2_likeability_enjoyability,ann2_likeability_quality,ann2_lead_time,ann2_comments,n_sentences,n_words
conv_23ed55f8-cc91-439f-8c8e-e24f66457596,conv_23ed55f8-cc91-439f-8c8e-e24f66457596,H-LLM,2,3.0,4.0,3.0,4.0,3.0,3.5,196.784,3.5,3.5,3.25,1.0,5.0,5.0,3.0,5.0,2.0,4.0,216.938,h-ai,2.0,1.0,3.0,3.0,3.0,4.0,3.0,176.629,human-ai,36,462
conv_24be5ad5ae8b490a89787a75511dc012,conv_24be5ad5ae8b490a89787a75511dc012,LLM-LLM,2,5.0,4.5,1.0,4.0,1.5,4.5,2684.468,4.75,2.5,3.0,2.0,5.0,4.0,1.0,5.0,2.0,5.0,430.387,"ai-ai, boring!",1.0,5.0,5.0,1.0,3.0,1.0,4.0,4938.549,AI-AI? Super boring story,10,635
conv_25b3327db15a448db32cb8f42d05655e,conv_25b3327db15a448db32cb8f42d05655e,LLM-LLM,2,5.0,5.0,1.5,4.5,1.0,5.0,1131.121,5.0,3.0,3.0,2.0,5.0,5.0,1.0,5.0,1.0,5.0,1678.334,ai-ai,1.0,5.0,5.0,2.0,4.0,1.0,5.0,583.908,"AI-AI, I thought it was really boring",31,555
conv_272a28c1cb76483fb0bcc11661b06dbc,conv_272a28c1cb76483fb0bcc11661b06dbc,LLM-LLM,2,5.0,5.0,2.0,5.0,1.5,5.0,1076.409,5.0,3.5,3.25,2.0,5.0,5.0,1.0,5.0,1.0,5.0,161.287,ai-ai,1.0,5.0,5.0,3.0,5.0,2.0,5.0,1991.53,AI-AI?,30,561
conv_29031421-8265-472f-b4ce-f147dd80edca,conv_29031421-8265-472f-b4ce-f147dd80edca,H-LLM,2,4.0,4.5,4.0,4.5,5.0,4.5,289.214,4.25,4.25,4.75,2.0,3.0,4.0,5.0,4.0,5.0,4.0,129.381,human-ai,1.0,5.0,5.0,3.0,5.0,5.0,5.0,449.046,H-H,43,461
conv_292771c4d36a4702b327c98371d9c388,conv_292771c4d36a4702b327c98371d9c388,LLM-LLM,2,4.0,4.0,2.5,4.0,2.0,3.5,599.791,4.0,3.25,2.75,2.0,4.0,4.0,2.0,4.0,3.0,4.0,164.387,human-human,1.0,4.0,4.0,3.0,4.0,1.0,3.0,1035.195,"Maybe AI-AI? There's definitely an AI in here, considering the ""This wasn’t just any treasure; it was a piece of history"" line and AI's general tendency to write about unravelling mysteries and searching for the truth, but never letting the reader know what they are actually discovering.",30,596
conv_2b6a9fdd2b264202b6fbc798e053f3c0,conv_2b6a9fdd2b264202b6fbc798e053f3c0,LLM-LLM,2,4.5,5.0,3.5,5.0,4.5,4.5,136.969,4.75,4.25,4.5,1.0,4.0,5.0,5.0,5.0,4.0,5.0,57.481,h-a,2.0,5.0,5.0,2.0,5.0,5.0,4.0,216.457,I think it might be human-ai,34,543
conv_2ce635fa-cb6c-424f-9565-859a944eed92,conv_2ce635fa-cb6c-424f-9565-859a944eed92,H-LLM,2,3.5,4.5,4.5,4.5,4.0,4.0,212.285,4.0,4.5,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,128.994,human-ai,1.0,3.0,5.0,5.0,5.0,5.0,4.0,295.576,"H-H, this story feels really unique both in the style and plot compared to all the others, but you can definitely tell that two people wrote it",26,457
conv_2f306db5-d066-4651-b17c-762d7f601570,conv_2f306db5-d066-4651-b17c-762d7f601570,H-LLM,2,3.5,4.0,3.0,4.0,3.0,4.0,568.788,3.75,3.5,3.5,2.0,3.0,3.0,3.0,3.0,3.0,4.0,143.096,human-ai,1.0,4.0,5.0,3.0,5.0,3.0,4.0,994.48,"H-A? It could be H-H, but stories about secrets and mysteries always make me think an AI might've written it.",26,456
conv_30e43acd01e24513a5f6f65aa3fc5f50,conv_30e43acd01e24513a5f6f65aa3fc5f50,LLM-LLM,2,5.0,5.0,2.0,4.0,2.5,5.0,106.584,5.0,3.0,3.75,1.0,5.0,5.0,3.0,3.0,1.0,5.0,39.083,ai-ai,2.0,5.0,5.0,1.0,5.0,4.0,5.0,174.084,I think it is ai-ai,6,610
conv_31e18dd54ab64e43899d86184657e442,conv_31e18dd54ab64e43899d86184657e442,LLM-LLM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,507
conv_328804bd-df9e-47da-ad43-e4da646b9ceb,conv_328804bd-df9e-47da-ad43-e4da646b9ceb,H-LLM,2,4.0,4.5,2.0,4.5,1.0,3.5,589.17,4.25,3.25,2.25,2.0,3.0,4.0,1.0,4.0,1.0,4.0,113.693,human-ai,1.0,5.0,5.0,3.0,5.0,1.0,3.0,1064.647,H-A. really boring,15,434
conv_33502e38-922d-4e7d-a252-ab236947c3d2,conv_33502e38-922d-4e7d-a252-ab236947c3d2,H-LLM,2,4.0,4.0,4.0,4.5,4.0,4.5,171.828,4.0,4.25,4.25,1.0,3.0,3.0,4.0,4.0,3.0,4.0,181.838,h-h,2.0,5.0,5.0,4.0,5.0,5.0,5.0,161.818,I think it is human-human,21,504
conv_339a89acf32545fa80f53e02c9fd766b,conv_339a89acf32545fa80f53e02c9fd766b,LLM-LLM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,586
conv_396737da-f9a2-4564-9edf-3712ef73724d,conv_396737da-f9a2-4564-9edf-3712ef73724d,H-LLM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,434
conv_3b65e0a1-1bf7-4f16-825f-63867d60f8d3,conv_3b65e0a1-1bf7-4f16-825f-63867d60f8d3,H-LLM,2,3.0,3.5,3.0,3.0,2.5,3.5,201.639,3.25,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,149.833,human-ai,1.0,4.0,5.0,5.0,5.0,4.0,5.0,253.446,"H-A? I was impressed at how consistent the story was, since the initial setting about singing opera in a lighthouse is brought back at the end of the story.",26,532
